url_path,views_total,views_unique
/spatialmodel/inmap,57,34
/spatialmodel/inmap/releases,38,18
/spatialmodel/inmap/blob/master/cmd/inmap/configExample.toml,16,5
/spatialmodel/inmap/tree/master/emissions/aep,13,3
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,12,6
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,11,4
/spatialmodel/inmap/tree/master/cmd/inmap,10,4
/spatialmodel/inmap/blob/master/README.md,10,2
/spatialmodel/inmap/tree/master/cmd,9,3
/spatialmodel/inmap/tree/master/emissions,9,3
