time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-29 00:00:00+00:00,7,4,8,5
2024-04-30 00:00:00+00:00,3,3,43,8
2024-05-01 00:00:00+00:00,15,8,93,9
2024-05-02 00:00:00+00:00,5,4,126,5
2024-05-03 00:00:00+00:00,2,2,51,7
2024-05-04 00:00:00+00:00,3,3,2,2
2024-05-05 00:00:00+00:00,7,4,12,3
2024-05-06 00:00:00+00:00,7,4,17,5
2024-05-07 00:00:00+00:00,12,8,24,4
2024-05-08 00:00:00+00:00,5,4,42,8
2024-05-09 00:00:00+00:00,2,2,29,4
2024-05-10 00:00:00+00:00,8,5,61,6
2024-05-11 00:00:00+00:00,10,6,10,7
2024-05-12 00:00:00+00:00,20,4,9,4
