time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-07 00:00:00+00:00,4,4,13,6
2025-12-08 00:00:00+00:00,7,3,42,12
2025-12-09 00:00:00+00:00,12,7,45,7
2025-12-10 00:00:00+00:00,3,3,24,8
2025-12-11 00:00:00+00:00,12,8,36,8
2025-12-12 00:00:00+00:00,11,7,48,6
2025-12-13 00:00:00+00:00,8,4,1,1
2025-12-14 00:00:00+00:00,7,3,21,5
2025-12-15 00:00:00+00:00,11,6,37,9
2025-12-16 00:00:00+00:00,11,7,20,9
2025-12-17 00:00:00+00:00,7,3,31,4
2025-12-18 00:00:00+00:00,9,5,56,5
2025-12-19 00:00:00+00:00,25,17,54,5
2025-12-20 00:00:00+00:00,7,2,4,3
