time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,24,11,13,6
2026-06-09 00:00:00+00:00,25,8,35,11
2026-06-10 00:00:00+00:00,21,10,15,6
2026-06-11 00:00:00+00:00,27,10,7,3
2026-06-12 00:00:00+00:00,28,11,20,5
2026-06-13 00:00:00+00:00,15,6,9,5
2026-06-14 00:00:00+00:00,26,8,9,5
2026-06-15 00:00:00+00:00,23,12,27,12
2026-06-16 00:00:00+00:00,23,9,6,2
2026-06-17 00:00:00+00:00,14,5,5,4
2026-06-18 00:00:00+00:00,11,4,17,8
2026-06-19 00:00:00+00:00,39,10,17,6
2026-06-20 00:00:00+00:00,39,10,4,4
2026-06-21 00:00:00+00:00,30,12,3,3
