url_path,views_total,views_unique
/spatialmodel/inmap,64,35
/spatialmodel/inmap/releases,53,14
/spatialmodel/inmap/blob/master/cmd/inmap/configExample.toml,14,5
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,12,6
/spatialmodel/inmap/blob/master/README.md,12,3
/spatialmodel/inmap/tree/master/cmd/inmap,10,4
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,10,3
/spatialmodel/inmap/tree/master/cmd,9,3
/spatialmodel/inmap/tree/master/emissions/aep,9,2
/spatialmodel/inmap/tree/master/docs,8,4
