time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-05 00:00:00+00:00,,,1,1
2025-01-06 00:00:00+00:00,1.0,1.0,7,4
2025-01-07 00:00:00+00:00,,,20,8
2025-01-08 00:00:00+00:00,2.0,1.0,16,4
2025-01-09 00:00:00+00:00,1.0,1.0,2,2
2025-01-10 00:00:00+00:00,,,20,6
2025-01-11 00:00:00+00:00,2.0,1.0,1,1
2025-01-12 00:00:00+00:00,,,1,1
2025-01-13 00:00:00+00:00,3.0,2.0,3,3
2025-01-14 00:00:00+00:00,1.0,1.0,16,10
2025-01-15 00:00:00+00:00,1.0,1.0,10,3
2025-01-16 00:00:00+00:00,1.0,1.0,49,6
2025-01-17 00:00:00+00:00,3.0,1.0,4,3
2025-01-18 00:00:00+00:00,,,3,2
