time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-12 00:00:00+00:00,1,1,7,2
2023-08-13 00:00:00+00:00,71,42,2,1
2023-08-14 00:00:00+00:00,25,20,15,6
2023-08-15 00:00:00+00:00,1,1,58,7
2023-08-16 00:00:00+00:00,1,1,40,7
2023-08-17 00:00:00+00:00,2,2,77,17
2023-08-18 00:00:00+00:00,2,2,8,4
2023-08-19 00:00:00+00:00,1,1,3,2
2023-08-20 00:00:00+00:00,1,1,4,2
2023-08-21 00:00:00+00:00,3,3,18,9
2023-08-22 00:00:00+00:00,1,1,52,7
2023-08-23 00:00:00+00:00,2,2,18,3
2023-08-24 00:00:00+00:00,1,1,43,8
2023-08-25 00:00:00+00:00,2,2,11,5
