time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,7,6,17,5
2025-11-26 00:00:00+00:00,7,5,30,7
2025-11-27 00:00:00+00:00,9,6,3,3
2025-11-28 00:00:00+00:00,10,10,2,2
2025-11-29 00:00:00+00:00,15,13,3,3
2025-11-30 00:00:00+00:00,11,10,11,4
2025-12-01 00:00:00+00:00,57,14,5,4
2025-12-02 00:00:00+00:00,30,12,64,15
2025-12-03 00:00:00+00:00,122,30,27,5
2025-12-04 00:00:00+00:00,8,7,40,7
2025-12-05 00:00:00+00:00,11,10,82,15
2025-12-06 00:00:00+00:00,12,7,23,10
2025-12-07 00:00:00+00:00,4,4,13,6
2025-12-08 00:00:00+00:00,5,1,41,11
