time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-29 00:00:00+00:00,3,3,37.0,7.0
2024-03-30 00:00:00+00:00,2,2,1.0,1.0
2024-03-31 00:00:00+00:00,3,3,6.0,1.0
2024-04-01 00:00:00+00:00,2,2,2.0,2.0
2024-04-02 00:00:00+00:00,1,1,19.0,6.0
2024-04-03 00:00:00+00:00,2,2,16.0,5.0
2024-04-04 00:00:00+00:00,2,2,122.0,10.0
2024-04-05 00:00:00+00:00,2,2,120.0,9.0
2024-04-06 00:00:00+00:00,2,2,,
2024-04-07 00:00:00+00:00,2,2,21.0,4.0
2024-04-08 00:00:00+00:00,2,2,65.0,9.0
2024-04-09 00:00:00+00:00,4,4,57.0,7.0
2024-04-10 00:00:00+00:00,4,4,28.0,10.0
2024-04-11 00:00:00+00:00,3,2,31.0,10.0
