time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,30,30,5.0,5.0
2025-09-10 00:00:00+00:00,57,46,78.0,11.0
2025-09-11 00:00:00+00:00,72,56,4.0,4.0
2025-09-12 00:00:00+00:00,5,5,24.0,6.0
2025-09-13 00:00:00+00:00,74,65,,
2025-09-14 00:00:00+00:00,55,42,2.0,1.0
2025-09-15 00:00:00+00:00,6,6,23.0,4.0
2025-09-16 00:00:00+00:00,11,8,46.0,8.0
2025-09-17 00:00:00+00:00,75,56,89.0,7.0
2025-09-18 00:00:00+00:00,10,9,14.0,5.0
2025-09-19 00:00:00+00:00,18,13,26.0,6.0
2025-09-20 00:00:00+00:00,16,16,10.0,3.0
2025-09-21 00:00:00+00:00,13,10,9.0,3.0
2025-09-22 00:00:00+00:00,2,2,29.0,5.0
